KEY 	 ALPHA1 	 ALPHA2 	 GAPS 	 MATCHES 	 ALL 	 OVERLAP_TYPE 
seq9_1-seq9_190	0.42129384805217696	0.42504378283712785	0.06279308251456603632	0.26890812025815783985	0.18060500171099340591	Good Overlap
seq9_1-seq9_105	0.6877697841726619	0.6907069555302167	0.10169420825699457867	0.44296262997174040582	0.30175262904131689053	Good Overlap
seq9_1-seq9_141	0.10007118033747854	0.10146321070234114	0.016318483244423604424	0.06488379212594474845	0.04432968602959797767	Good Overlap
seq9_1-seq9_186	0.29601189001733963	0.29835822737933587	0.046958241622804314087	0.1905456862178908443	0.12991660456054785596	Good Overlap
seq9_1-seq9_83	0.5274773780622379	0.5290365156181258	0.08607578859021733229	0.33687869881231974808	0.22831620562508579366	Good Overlap
seq9_1-seq9_191	0.060735432390536456	0.06154627396216834	0.009402116570049276556	0.038379801536656131693	0.025508671089570983574	Good Overlap
seq9_1-seq9_194	0.14800594500866981	0.1502686677783954	0.021866316195971937486	0.09375262665758659963	0.06270864048141635657	Good Overlap
seq9_1-seq9_33	0.596903096903097	0.599304865938431	0.08592251247932506652	0.37394553367425422072	0.25039602698325693817	Good Overlap
seq9_1-seq9_158	0.7984038861901457	0.8012316113581937	0.108042358278680574374	0.502297313094658913	0.3374386948421541108	Good Overlap
seq9_1-seq9_39	0.9435452033162258	0.943921568627451	0.13760667633205968142	0.58939932615861407716	0.39678356483713527638	Good Overlap
seq9_1-seq9_180	0.16180353395166205	0.16186027619821283	0.027884261716897518872	0.101145441752433017735	0.06775382863044061266	Good Overlap
seq9_1-seq9_119	0.6450742240215924	0.6462200699488835	0.099251266982358735235	0.39068215162719144773	0.2550016824813451821	Good Overlap
seq9_1-seq9_5	0.21696733300828863	0.21524554116784755	0.02816158076151278181	0.14059841610434743417	0.0970225916818552174	Good Overlap
seq9_1-seq9_14	0.2641318977119785	0.26758204956463494	0.03717244207457421395	0.17278987469951368109	0.118201032741142672806	Good Overlap
seq9_1-seq9_73	0.9951749095295537	0.9951338199513382	0.15749372404149059929	0.614507224175427776	0.40862698301682570657	Good Overlap
seq9_1-seq9_71	0.1551047120418848	0.15620915032679739	0.026376216141757022185	0.10309622349348650378	0.071768650207591425334	Good Overlap
seq9_1-seq9_163	0.06499151823579305	0.0654869132139451	0.0094972268530603614054	0.041813714243024398913	0.028116679119357796239	Good Overlap
seq9_1-seq9_146	0.9985052316890882	0.9984779299847792	0.178413039247143264	0.587900629949803477	0.3748443359583263182	Good Overlap
seq9_1-seq9_15	0.18818681318681318	0.1889295516925892	0.032784440394593650503	0.1273116811906524171	0.09048353445843075737	Good Overlap
