KEY 	 ALPHA1 	 ALPHA2 	 GAPS 	 MATCHES 	 ALL 	 OVERLAP_TYPE 
seq6_1-seq6_158	0.1969315319441264	0.19784995425434584	0.015691288436329211433	0.12391504824859463605	0.081100124839316307865	Good Overlap
seq6_1-seq6_143	0.9747126436781609	0.9746543778801844	0.07681397783047825215	0.60567392624296349985	0.39671605211297669344	Good Overlap
seq6_1-seq6_180	0.09052015311866697	0.09266539368752107	0.0076985263132240319563	0.058355284790686016054	0.039115038186309805116	Good Overlap
seq6_1-seq6_186	0.12833168805528133	0.13119055428009183	0.013602305351928996085	0.08239395757948314243	0.05484525506815760707	Good Overlap
seq6_1-seq6_69	0.2147117296222664	0.21626984126984128	0.017869726808058628557	0.1287355463386617935	0.08280962234630709313	Good Overlap
seq6_1-seq6_109	0.11258544431041416	0.11341724692019282	0.008630616344871979932	0.06548981066745382566	0.040875544804760812752	Good Overlap
seq6_1-seq6_110	0.13384512683578104	0.13297694620781825	0.0119456705463215680144	0.08034483859917788001	0.052123793169315524028	Good Overlap
seq6_1-seq6_42	0.1761471769930218	0.1735256682223165	0.016026542186457997102	0.10086604691012977983	0.06271912878783323425	Good Overlap
seq6_1-seq6_57	0.9812583668005355	0.9811827956989247	0.08672366004319472824	0.5949876548624663947	0.38705130986189567426	Good Overlap
seq6_1-seq6_121	0.9651162790697675	0.9644268774703557	0.0720259983793078236	0.6529794387478843745	0.45946827456313099885	Good Overlap
seq6_1-seq6_115	0.04227466021846077	0.042514171390463484	0.0045363959903461374444	0.025892088159835768066	0.016926497377490881336	Good Overlap
seq6_2-seq6_66	0.440562833575934	0.44406943105110896	0.03542983064526641573	0.27594567399624094425	0.18247198475179264793	Good Overlap
seq6_2-seq6_82	0.19783108774235952	0.19783108774235952	0.017350754672049964615	0.12176788092627248838	0.079660985963996544685	Good Overlap
seq6_2-seq6_36	0.6089872568745808	0.6055480378890392	0.050896308902562407484	0.35864629781576304497	0.22666445108384344856	Good Overlap
seq6_2-seq6_32	0.26609508963367107	0.2664381427235899	0.023768998503843540592	0.16450011533703675304	0.10790755479029292915	Good Overlap
seq6_2-seq6_97	0.039462486002239644	0.039462486002239644	0.0038381548607206629274	0.02397146203649000441	0.015569105233287179001	Good Overlap
seq6_2-seq6_9	0.23098492814581142	0.22909346451159524	0.016161502034362636215	0.14201855533135146467	0.092174922905049266767	Good Overlap
