KEY 	 ALPHA1 	 ALPHA2 	 GAPS 	 MATCHES 	 ALL 	 OVERLAP_TYPE 
seq5_1-seq5_42	0.6282491417361452	0.6266009852216748	0.061299302595028502742	0.40011551537655497084	0.26952139364205312288	Good Overlap
seq5_1-seq5_137	0.601690934711132	0.6001885902876002	0.06659917477767543861	0.38216577563810388344	0.25789332067067864384	Good Overlap
seq5_1-seq5_196	0.41519014693171996	0.41405066031608573	0.04173164699883879631	0.26182799996500743384	0.17542737835823635707	Good Overlap
seq5_1-seq5_120	0.9972647702407003	0.9972699972699973	0.107880299002513866516	0.6347494031624169769	0.42854919795822482228	Good Overlap
seq5_1-seq5_99	0.27878128400435254	0.2796174190276067	0.028134957802141133424	0.17261594230171602046	0.1136280681317447087	Good Overlap
seq5_1-seq5_47	0.6743288296192315	0.6727785613540197	0.070070410165633817004	0.4203718566978179394	0.2795547096695576891	Good Overlap
seq5_1-seq5_174	0.4723451327433628	0.47344535753710293	0.050868888158601406866	0.2938717014002393666	0.19473342453988770059	Good Overlap
seq5_1-seq5_157	0.6220459695694399	0.6154479578392622	0.066839023426038259194	0.36706671350857628783	0.23485009942795528974	Good Overlap
seq5_1-seq5_15	0.9600846688841851	0.9571010724731882	0.10166874893431347747	0.60023015524538434915	0.40083098685360796153	Good Overlap
seq5_1-seq5_154	0.20575815738963532	0.20644357081215842	0.021939534669953748006	0.13416694036575226239	0.09176131862390119958	Good Overlap
seq5_1-seq5_170	0.9978476108480413	0.9978668941979523	0.100021512666006135876	0.6204248285054943621	0.41296592195000633423	Good Overlap
seq5_1-seq5_186	0.1485450722376721	0.14762001765464794	0.017133076561265718629	0.09498822849765505237	0.0642373934219795118	Good Overlap
seq5_1-seq5_134	0.3972259680215758	0.3961790814357391	0.042486395544432818768	0.26048352691250160153	0.17972235304712497136	Good Overlap
seq5_1-seq5_185	0.09258294250477679	0.09167572266898501	0.010838326842399424579	0.058986500321234623875	0.039682547487297467515	Good Overlap
seq5_1-seq5_33	0.3108665749656121	0.3107311320754717	0.033668953810613122128	0.20431329510923048732	0.14105335220773740765	Good Overlap
seq5_1-seq5_158	0.9952095808383233	0.9951923076923077	0.12135291391670260457	0.61551811969140890257	0.40731768147267106408	Good Overlap
seq5_1-seq5_66	0.9891443167305236	0.9889466840052016	0.09514302716459555056	0.59522271019704573456	0.38552733004737365296	Good Overlap
seq5_1-seq5_8	0.24633879781420764	0.24402543301907476	0.025783731176848959647	0.15911012992464476737	0.10821191419568174121	Good Overlap
seq5_1-seq5_169	0.9990636704119851	0.9990592662276576	0.1129884371596143924	0.590985377210827926	0.37674168917152473367	Good Overlap
seq5_1-seq5_84	0.09475106136626785	0.09106762255376864	0.009171143610610244463	0.06192430058883586842	0.042499065650908621978	Good Overlap
seq5_1-seq5_152	0.9937759336099585	0.993801652892562	0.10871784820013247646	0.5886669723009257792	0.37514207058559838752	Good Overlap
seq5_2-seq5_82	0.2089730331715854	0.20758626185353415	0.023975869633581252773	0.1300285264812986662	0.0865788591470368185	Good Overlap
seq5_2-seq5_89	0.5960971182210121	0.5961887477313974	0.08085321910748813985	0.3676129747781634033	0.24217748457871383343	Good Overlap
seq5_2-seq5_83	0.39092261904761905	0.38773373223635005	0.04749300428682359191	0.23972676394262539742	0.15729840543426696137	Good Overlap
seq5_2-seq5_77	1.0	1.0	0.124553290503582357186	0.6130361649846069052	0.40503565785296485768	Good Overlap
seq5_2-seq5_67	0.47633726201269266	0.47308885239919723	0.05556910164794367081	0.29040267953454151345	0.19068817970823964045	Good Overlap
seq5_2-seq5_80	0.16266434129326537	0.16176470588235295	0.020327819493816754152	0.103571176778011925945	0.07045939299854373398	Good Overlap
seq5_2-seq5_75	1.0	1.0	0.13566489706785342768	0.6160450184365869461	0.40733506845219001188	Good Overlap
seq5_3-seq5_80	0.5303331675783193	0.5293971101145989	0.07141746286463786187	0.32968771919342372624	0.21851940657700678687	Good Overlap
seq5_3-seq5_72	1.0	1.0	0.12327937161567027276	0.60887118154187869066	0.39736684443025404256	Good Overlap
seq5_3-seq5_47	0.1804643418740172	0.1797055828164059	0.021763349036699642617	0.10981948750684133236	0.07181065622171463415	Good Overlap
seq5_3-seq5_39	0.9978798586572438	0.9978662873399715	0.12341455428731015663	0.631386766614134856	0.42436354723236252858	Good Overlap
seq5_3-seq5_82	0.925273390036452	0.9247706422018349	0.103715651876378871944	0.56309353063514830466	0.36983604831414942785	Good Overlap
seq5_3-seq5_58	0.9993079584775086	0.9993089149965446	0.119599912723748466996	0.6057502360992430746	0.39104827269857350501	Good Overlap
seq5_3-seq5_41	0.2645204862674471	0.2658426966292135	0.033004004308842729633	0.15269675245079204087	0.09581512257531929376	Good Overlap
seq5_3-seq5_52	0.9768211920529801	0.9771241830065359	0.1479903446678381193	0.5987509611019846329	0.39037781904241918357	Good Overlap
seq5_4-seq5_88	0.7837992013690815	0.7852691218130312	0.07596625561381805078	0.48436915884269191067	0.31817971690223497238	Good Overlap
seq5_4-seq5_93	0.2449197860962567	0.24693333333333334	0.027953676848551868983	0.15592882281842081112	0.104636453158020342853	Good Overlap
seq5_4-seq5_45	0.9901112484548825	0.9900124843945068	0.10329311263649641512	0.6122359321686728242	0.40462770243785449125	Good Overlap
seq5_4-seq5_61	0.9820261437908496	0.9816053511705686	0.093685729846180313446	0.5959706349166889713	0.39307585796505546997	Good Overlap
seq5_4-seq5_78	0.19321876451463074	0.1879382889200561	0.018183138362839497782	0.13258644170426506918	0.09490704749025083822	Good Overlap
seq5_4-seq5_71	0.9764397905759162	0.9767441860465116	0.079375088587341107243	0.65202483477851352797	0.45514172858410329627	Good Overlap
seq5_5-seq5_53	0.20957055214723927	0.20743110236220472	0.021455078679203302136	0.12822473800180007366	0.084000299923605518894	Good Overlap
seq5_5-seq5_99	0.12326789838337182	0.12276140958983246	0.011933585797747112128	0.07517544429567340126	0.048825413036792146674	Good Overlap
seq5_5-seq5_69	0.12871137905048982	0.12962962962962962	0.015242179953273476445	0.08081718245821246667	0.053899379454057176784	Good Overlap
seq5_5-seq5_64	0.6892655367231638	0.6872461413484972	0.075333799724584430857	0.42165708572737099367	0.27591951718192024362	Good Overlap
seq5_6-seq5_60	1.0	1.0	0.124354887473075269136	0.6168344300756369595	0.40720927133304341634	Good Overlap
seq5_6-seq5_99	0.9979674796747967	0.9979591836734694	0.09575807329061767285	0.6346243714083045195	0.42725962493365856416	Good Overlap
seq5_7-seq5_82	0.40264196260078916	0.40079160213388404	0.045856161081361982543	0.25803858960743986158	0.17552749567066591687	Good Overlap
seq5_7-seq5_80	0.28632426497499086	0.28492849284928495	0.032343305005823057483	0.18394200788542005892	0.12562230193738451984	Good Overlap
seq5_7-seq5_72	0.3800194300518135	0.38162144702842377	0.038729222451767522805	0.2370371787465298282	0.1574168742823674747	Good Overlap
seq5_8-seq5_99	0.16755680275187834	0.1695114241849544	0.018058017415908962305	0.10752186248129198369	0.072240869715791013845	Good Overlap
seq5_8-seq5_84	0.49531568228105904	0.49283667621776506	0.053110399320300264722	0.31565347006420574634	0.21378057678186824279	Good Overlap
seq5_9-seq5_91	1.0	1.0	0.094749027130061605245	0.579547688355290569	0.36503524946565786547	Good Overlap
seq5_10-seq5_61	0.32608695652173914	0.331016825164594	0.03622499354133849867	0.21149113442827362057	0.14368830125820746372	Good Overlap
seq5_10-seq5_171	0.14023134210109334	0.1409119696010133	0.0149308230897767697716	0.08818049347982057526	0.058871864908028716332	Good Overlap
seq5_10-seq5_192	0.3900396650506831	0.39351446099912357	0.04372474452692773669	0.23866553331923686256	0.15483262964495953533	Good Overlap
seq5_10-seq5_123	0.25401836969001146	0.25572737686139746	0.032869686102990901973	0.16303933297015015514	0.11136497636718824644	Good Overlap
seq5_10-seq5_119	0.7387312186978298	0.7434426229508196	0.072959101825781949425	0.45960637775866741635	0.30436506690161713518	Good Overlap
seq5_10-seq5_27	0.5175438596491229	0.5195107746068724	0.06472193301571912291	0.32623543159800822254	0.21982127820140617518	Good Overlap
seq5_10-seq5_71	0.35385845661735305	0.3536	0.041540901422647493938	0.21809484329487156786	0.14395197492928915395	Good Overlap
seq5_10-seq5_177	0.27365491651205937	0.2747761654831738	0.028744487286075911218	0.1641016702367083132	0.10633743095813726847	Good Overlap
seq5_10-seq5_191	0.06808216016616662	0.0687985240987009	0.0066836371387594660313	0.04170298926798735077	0.027148442888948448932	Good Overlap
seq5_10-seq5_127	0.03261230054906585	0.03250534384904548	0.003887852424927131678	0.01953173436006223984	0.012672111859651138162	Good Overlap
seq5_10-seq5_188	0.07149204297600775	0.07164203214603021	0.008111801890744668481	0.043241150446574773757	0.02821213244341389873	Good Overlap
seq5_10-seq5_93	0.11420828493999226	0.11375080697224016	0.0130394227907228740534	0.0671701857884504517	0.04292542952356357782	Good Overlap
seq5_10-seq5_142	0.056517705272924074	0.05775615782565053	0.006485346171670638357	0.036151225271345085832	0.024211769519287769943	Good Overlap
seq5_10-seq5_161	0.06897357961187749	0.06853801169590644	0.008585247926258758469	0.03987797591704262051	0.025128798386678147314	Good Overlap
seq5_10-seq5_183	0.9865125240847784	0.9862204724409449	0.11187883455149740904	0.60599791753672881654	0.40176471204533286294	Good Overlap
seq5_10-seq5_45	0.1453369639210347	0.14678899082568808	0.014794109426336976342	0.08970588757526968084	0.059094616633797396708	Good Overlap
seq5_11-seq5_195	0.32809749492213947	0.3264558164788924	0.035998540928199161786	0.20983028498586897181	0.14221239294906368369	Good Overlap
seq5_11-seq5_190	0.16172057352450817	0.16082515521730423	0.017034103944704591193	0.09996981284485600447	0.06593925656301314926	Good Overlap
seq5_11-seq5_179	0.2985828712261245	0.2991873922679143	0.031100389611501136738	0.18482569809589030277	0.12165185401249272807	Good Overlap
seq5_11-seq5_181	0.19875420047537087	0.19789957335083688	0.021712128368454742383	0.1236799129670879528	0.082126390099170981825	Good Overlap
seq5_11-seq5_140	0.6612991266375546	0.6617606977378032	0.07765587119358335809	0.4091543032967811526	0.27058611361578081277	Good Overlap
seq5_11-seq5_175	0.13620515127657182	0.13581636097670755	0.013949480284022650258	0.08142160466381321545	0.052041342835910974594	Good Overlap
seq5_11-seq5_76	0.21786240269303597	0.21687381504107858	0.024945240751793723005	0.13774919736090630843	0.092211941346406184126	Good Overlap
seq5_11-seq5_133	0.15710156895127994	0.1539577289680895	0.016492282178903089756	0.09479616609024329574	0.061354685602905846367	Good Overlap
seq5_11-seq5_149	0.5036726128016789	0.5010548523206751	0.047545990365064517452	0.31966455241448953994	0.21470663491607045134	Good Overlap
seq5_11-seq5_176	0.998019801980198	0.9980285855101035	0.100841389489503459514	0.61159705854090064785	0.40230589956559492307	Good Overlap
seq5_11-seq5_57	0.9910224438902743	0.9910846953937593	0.099851338718621706894	0.5981412920143920991	0.3863017389043262412	Good Overlap
seq5_11-seq5_117	0.9922239502332815	0.9921589127025614	0.103769850279747086186	0.5983192844433827476	0.38753846848337835618	Good Overlap
seq5_11-seq5_30	0.9982415005861665	0.9982185273159145	0.109782866899734040026	0.61206803605569822305	0.39853609964584134337	Good Overlap
seq5_11-seq5_184	0.25671355498721227	0.25884603124003824	0.027930955557750700129	0.15858081086937922395	0.10339840859744779092	Good Overlap
seq5_11-seq5_40	0.1745989659286756	0.17416102931423266	0.016776264627660032656	0.10351466120051533116	0.066245139019189154765	Good Overlap
seq5_11-seq5_127	0.9779208831646734	0.9778801843317972	0.097421315722083624685	0.60036370314166566517	0.39479735019037619781	Good Overlap
seq5_11-seq5_146	0.06060203335769818	0.060227348268297544	0.007321244526577459297	0.040580796087598291342	0.028413640444558127283	Good Overlap
seq5_11-seq5_91	0.047697368421052634	0.0470058575785448	0.006174825013792418559	0.030899832116670575283	0.021197068915033281999	Good Overlap
seq5_11-seq5_129	1.0	1.0	0.116168877133422193986	0.59575268238819940354	0.3825558437704436503	Good Overlap
seq5_11-seq5_96	0.9984051036682615	0.9983792544570502	0.12497172879649662822	0.59055071432553358937	0.38360024067781139462	Good Overlap
seq5_12-seq5_99	0.5658827920865995	0.5608006042296072	0.06371080970729153263	0.35788664453998178655	0.24061905769247934677	Good Overlap
seq5_12-seq5_56	0.29351403678606003	0.2893865628042843	0.036515762893207810477	0.18646983739989294912	0.12569081631915097436	Good Overlap
seq5_12-seq5_145	0.2774524158125915	0.27319587628865977	0.036024262178797273265	0.1715542995422706384	0.11338214094121362142	Good Overlap
seq5_12-seq5_48	0.9552614996849401	0.9547770700636943	0.113711313524402097754	0.5878378643218814035	0.38297292076231825324	Good Overlap
seq5_12-seq5_69	0.6517626827171109	0.6499567847882455	0.084216908696378909525	0.39793134710412092877	0.25955398126014223045	Good Overlap
seq5_12-seq5_32	0.7239732569245463	0.7165277096615988	0.07845413619043107298	0.4282691135780719675	0.2732245605619658882	Good Overlap
seq5_12-seq5_186	0.4076364614143587	0.3972640218878249	0.05169281162102856881	0.24338468718590393088	0.15729910969717527462	Good Overlap
